,Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
0,ACCIONA,"143,3000","-3,83","149,5000","142,2000",139.362,"20.129,91",28/09/2021,Cierre
1,ACERINOX,"10,7150","-3,12","11,1300","10,7150",873.805,"9.482,57",28/09/2021,Cierre
2,ACS,"23,4900","-1,96","24,3200","23,4400",1.736.664,"41.411,47",28/09/2021,Cierre
3,AENA,"144,4500","0,17","148,8000","143,1500",467.536,"68.681,74",28/09/2021,Cierre
4,ALMIRALL,"13,7100","-1,86","13,9600","13,7100",243.704,"3.366,85",28/09/2021,Cierre
5,AMADEUS,"56,9200","-3,30","59,8000","56,7400",1.266.688,"72.666,37",28/09/2021,Cierre
6,ARCELORMIT.,"25,4100","-2,36","26,1200","25,4100",367.821,"9.487,11",28/09/2021,Cierre
7,B.SANTANDER,"3,0800","-3,83","3,2390","3,0800",50.765.564,"158.927,08",28/09/2021,Cierre
8,BA.SABADELL,"0,7010","-1,96","0,7308","0,7010",39.348.786,"28.118,05",28/09/2021,Cierre
9,BANKINTER,"5,1140","-2,55","5,3000","5,1140",11.678.651,"60.386,54",28/09/2021,Cierre
10,BBVA,"5,6870","-1,61","5,8300","5,6840",22.088.151,"126.727,43",28/09/2021,Cierre
11,CAIXABANK,"2,6490","-3,67","2,7780","2,6490",14.891.234,"40.310,48",28/09/2021,Cierre
12,CELLNEX,"52,0000","-3,70","54,1200","51,8200",2.235.277,"118.180,50",28/09/2021,Cierre
13,CIE AUTOMOT.,"22,0000","-3,25","22,8000","21,9600",139.576,"3.121,32",28/09/2021,Cierre
14,ENAGAS,"19,0550","-0,81","19,2850","19,0550",904.487,"17.279,18",28/09/2021,Cierre
15,ENDESA,"18,0650","-1,01","18,3000","17,9700",2.057.843,"37.364,22",28/09/2021,Cierre
16,FERROVIAL,"25,3600","-4,01","26,4400","25,3000",1.026.078,"26.170,60",28/09/2021,Cierre
17,FLUIDRA,"33,5500","-8,58","36,9500","33,2500",1.544.570,"54.858,54",28/09/2021,Cierre
18,GRIFOLS CL.A,"22,0300","-1,39","22,6400","22,0200",1.178.427,"26.257,68",28/09/2021,Cierre
19,IAG,"2,1010","-3,45","2,1850","2,0960",22.265.247,"47.333,24",28/09/2021,Cierre
20,IBERDROLA,"8,9800","-2,35","9,2120","8,9800",14.888.370,"134.867,63",28/09/2021,Cierre
21,INDITEX,"31,2400","-3,16","32,2400","31,2100",2.670.098,"83.890,97",28/09/2021,Cierre
22,INDRA A,"9,1550","-3,83","9,5250","9,1550",1.171.074,"10.972,90",28/09/2021,Cierre
23,INM.COLONIAL,"8,4600","-4,19","8,8900","8,4550",638.406,"5.445,48",28/09/2021,Cierre
24,MAPFRE,"1,8545","-1,83","1,9235","1,8545",4.430.318,"8.360,73",28/09/2021,Cierre
25,MELIA HOTELS,"6,5840","-1,61","6,7480","6,5540",1.245.497,"8.257,42",28/09/2021,Cierre
26,MERLIN,"9,0760","-3,65","9,5000","9,0760",838.279,"7.671,55",28/09/2021,Cierre
27,NATURGY,"21,7500","0,23","21,8200","21,6600",2.119.096,"46.028,29",28/09/2021,Cierre
28,PHARMA MAR,"74,8400","-3,61","78,6000","74,6000",99.215,"7.529,67",28/09/2021,Cierre
29,R.E.C.,"17,2400","-0,92","17,3650","17,1900",941.446,"16.235,77",28/09/2021,Cierre
30,REPSOL,"11,0240","0,53","11,2200","10,9800",17.183.613,"191.156,88",28/09/2021,Cierre
31,SIEMENS GAME,"22,1500","-3,40","22,5800","22,0100",1.245.930,"27.646,27",28/09/2021,Cierre
32,SOLARIA,"14,1050","-4,89","14,8900","14,1050",1.123.432,"16.225,87",28/09/2021,Cierre
33,TELEFONICA,"4,1550","-0,48","4,2590","4,1440",13.321.242,"55.773,52",28/09/2021,Cierre
34,VISCOFAN,"56,6500","-1,90","57,8000","56,6500",48.859,"2.780,47",28/09/2021,Cierre
